Date;BTC amount;Channel;Recipient;USD amount
2018-05-21 08:17:05;0.00069065;JFG Livestreams;[PubkeyHashAddress(1DNN8GmzfBMt3kTvA1m6JrDsHz68WnuTi4), PubkeyHashAddress(1MKSj8jFNd4anJKipKufReLDRcVzyaRFGJ), ScriptHashAddress(334xqUwKFoCmCyuBYsTRncMrxgZv7sbLZZ), PubkeyHashAddress(1BTopPjNgaFmxcWgxREMXHgx46Hv2HXHMv)];5.798167326125
2018-05-21 22:25:52;0.0006;JFG Livestreams;[PubkeyHashAddress(1ERKJs6cx5kyL34uM1KB3YmHtPXLmUKtew), ScriptHashAddress(3MrfLAAK94ob9fzAS8uEqeHSqv8AMkvJgt)];5.037139499999999
2018-05-22 02:48:25;0.0051124;JFG Livestreams;[PubkeyHashAddress(1AstNDNXHRyaVTTZdKF9nqPTDGyZpCHyGy), PubkeyHashAddress(1Det4cBxsENw2p2jPdcvkmWHwfquVAXw3X), ScriptHashAddress(3HWT1is498R3ANR89iGe8xhN2TFGtcfdgh)];40.814934867
2018-05-25 17:38:17;7.81e-06;JFG Livestreams;[ScriptHashAddress(3GNXHyWMLYpE4AHg5ApmGM7V5yRUVGS8md), ScriptHashAddress(32TMSWZ6Y4ZSbMUurge5Mq2YTLYKG959YZ), PubkeyHashAddress(1E8J2wmyXwbHXWEey2yVhHdxLtDvpkGjxx), PubkeyHashAddress(1E6uVRsbrWuthBMUsrop6iZEi7TNmiTsvN), ScriptHashAddress(3Pm8UyxSR2uo7vYKNcYNsUJFWHtZMWBpbg), PubkeyHashAddress(14Dq3YsfQyFTvia9edriM39aVcouSSuVVn)];0.058268018578
2018-06-04 01:05:08;0.00064848;JFG Livestreams;[ScriptHashAddress(397CoXmbvQgpKVunpWJDfLwb94s8YmDM2k), ScriptHashAddress(3LLDHUS451wrmUkEUWj38LgoDPyoEhg3FV), ScriptHashAddress(3E3MNq4NHJrNYyUHZpcLzc6VS6DisswXTo), PubkeyHashAddress(1Hisug55hKxck69pLbqBS4iggLCrfxftCN)];4.8574978032
2016-08-17 05:03:31;0.01;Morrakiu;[PubkeyHashAddress(1KKzkJQaoYQBboyBPz6P1Zkx8Y63hESMRy), PubkeyHashAddress(12LSkuU9cTCVMqUE4ZFmE7NUsLGuXtd7Ks)];5.71745
2016-08-17 05:03:31;0.02400617;Morrakiu;[PubkeyHashAddress(1KKzkJQaoYQBboyBPz6P1Zkx8Y63hESMRy), PubkeyHashAddress(12LSkuU9cTCVMqUE4ZFmE7NUsLGuXtd7Ks)];13.72540766665
2016-11-13 08:01:26;0.0207987;Morrakiu;[PubkeyHashAddress(1GNiK9BivEVTSaekxcrS7TDZnxkDoS2Y1W), PubkeyHashAddress(12HXdGFi1CY2KYNLnUwSTXpZjFNmFYhSwB)];14.611165785059999
2016-11-13 08:01:26;0.15;Morrakiu;[PubkeyHashAddress(1GNiK9BivEVTSaekxcrS7TDZnxkDoS2Y1W), PubkeyHashAddress(12HXdGFi1CY2KYNLnUwSTXpZjFNmFYhSwB)];105.37557
2016-11-13 08:43:36;0.01;Morrakiu;[PubkeyHashAddress(1RCJE7diBzsnNeLHoMGnW45xXbLPwPEdy), PubkeyHashAddress(1KQda29g88hKF8Q6GEKbtnifxBBPURXtEx)];7.0250379999999994
2016-12-17 03:56:34;0.01488;Morrakiu;[PubkeyHashAddress(13EV8pTvjD1imcdBhU6SgRzCwGifBVbyB4)];11.734015344
2016-12-17 03:56:34;0.001433;Morrakiu;[PubkeyHashAddress(13EV8pTvjD1imcdBhU6SgRzCwGifBVbyB4)];1.1300298379
2016-12-17 03:56:34;0.0036;Morrakiu;[PubkeyHashAddress(13EV8pTvjD1imcdBhU6SgRzCwGifBVbyB4)];2.8388746799999995
2016-12-17 03:56:34;0.0033;Morrakiu;[PubkeyHashAddress(13EV8pTvjD1imcdBhU6SgRzCwGifBVbyB4)];2.60230179
2016-12-17 03:56:34;0.040906;Morrakiu;[PubkeyHashAddress(13EV8pTvjD1imcdBhU6SgRzCwGifBVbyB4)];32.257502127799995
2017-02-10 18:48:11;0.02397018;Morrakiu;[PubkeyHashAddress(172sGha4sDZxtiHRtbjXB3au9SpwqWmfUx), PubkeyHashAddress(17KrQuvChX29ApuvCsKYv3toNHk4ieGduc)];23.804277590184
2017-02-10 18:48:11;0.05;Morrakiu;[PubkeyHashAddress(172sGha4sDZxtiHRtbjXB3au9SpwqWmfUx), PubkeyHashAddress(17KrQuvChX29ApuvCsKYv3toNHk4ieGduc)];49.653940000000006
2017-02-10 18:48:11;0.00296659;Morrakiu;[PubkeyHashAddress(172sGha4sDZxtiHRtbjXB3au9SpwqWmfUx), PubkeyHashAddress(17KrQuvChX29ApuvCsKYv3toNHk4ieGduc)];2.9460576372919998
2017-04-21 23:58:04;0.00901215;Morrakiu;[PubkeyHashAddress(1Mm8yWHziLPu8ycm6St8gdXDpkAKPsxdJd), PubkeyHashAddress(194Qjn3HhxPDUCkVJ5zGj9sWfzaJweBiui)];11.32948919025
2017-04-21 23:58:04;0.023;Morrakiu;[PubkeyHashAddress(1Mm8yWHziLPu8ycm6St8gdXDpkAKPsxdJd), PubkeyHashAddress(194Qjn3HhxPDUCkVJ5zGj9sWfzaJweBiui)];28.914105
2017-08-09 05:42:22;0.02;Morrakiu;[PubkeyHashAddress(1GPQNfYu1zPiHxjXksx2N9x1Rx4JJd2tgd), PubkeyHashAddress(1uRF6hm9gpza2HR3N5QHFFc286PBPWcMU)];67.550876
2017-08-09 05:42:22;0.01;Morrakiu;[PubkeyHashAddress(1GPQNfYu1zPiHxjXksx2N9x1Rx4JJd2tgd), PubkeyHashAddress(1uRF6hm9gpza2HR3N5QHFFc286PBPWcMU)];33.775438
2017-08-09 05:42:22;0.007804;Morrakiu;[PubkeyHashAddress(1GPQNfYu1zPiHxjXksx2N9x1Rx4JJd2tgd), PubkeyHashAddress(1uRF6hm9gpza2HR3N5QHFFc286PBPWcMU)];26.3583518152
2017-08-09 05:42:22;0.00296938;Morrakiu;[PubkeyHashAddress(1GPQNfYu1zPiHxjXksx2N9x1Rx4JJd2tgd), PubkeyHashAddress(1uRF6hm9gpza2HR3N5QHFFc286PBPWcMU)];10.029211008844001
2017-12-29 04:20:39;0.00366316;Morrakiu;[PubkeyHashAddress(15ZjW9s2Ke9o4uFghuUsBSH8vdyUxpkQVr), PubkeyHashAddress(1A8wGiqxPughMCuuMSsCrpnWvTaDtSUZpp)];52.8515962692
2017-12-29 04:20:39;0.01120784;Morrakiu;[PubkeyHashAddress(15ZjW9s2Ke9o4uFghuUsBSH8vdyUxpkQVr), PubkeyHashAddress(1A8wGiqxPughMCuuMSsCrpnWvTaDtSUZpp)];161.7052585008
2017-12-29 04:20:39;0.00430851;Morrakiu;[PubkeyHashAddress(15ZjW9s2Ke9o4uFghuUsBSH8vdyUxpkQVr), PubkeyHashAddress(1A8wGiqxPughMCuuMSsCrpnWvTaDtSUZpp)];62.1626221737
2018-01-16 13:04:38;0.00776469;StateofNation;[PubkeyHashAddress(13N36fx3C3d7WBg2Kz7ZYEcrfvN4LfJM7T)];88.1138574138
2017-12-23 12:36:01;0.001;DetlefF. Artist;[PubkeyHashAddress(15Wqb1QFa26jsQrqTRQcSkHKp2xJH4GEpz), PubkeyHashAddress(1DRrhN7qenFvMyHnWAyuxFq7GDMo8Pev7t)];14.54871
2017-12-25 08:54:22;0.002;DetlefF. Artist;[PubkeyHashAddress(17mShaCmqoHKgSkJGT8sfwuitqnSY695a2), ScriptHashAddress(3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE)];27.834055
2018-01-21 11:08:09;0.001;Count Dankula;[PubkeyHashAddress(1PHYh8ijNyKiEnLFeXM4QJx3umGhGVXg12), PubkeyHashAddress(14n9SPgpX2R4kAugpfx9fXt635uQAe8RW8)];11.5228588
2018-02-13 18:45:17;0.16666292;Count Dankula;[PubkeyHashAddress(18nNrtK713j1K7J2tqZUV1SqzkHY3FnW5C), PubkeyHashAddress(191YPYuCKB8kNUcnU2jU4TngsuUSFrfhBQ)];1419.342059139896
2018-03-11 02:15:41;0.01331185;Count Dankula;[PubkeyHashAddress(1Grbs6QPsoHULG47Y2i6qJXyQbeqDkUWUD), WitnessPubkeyAddress(bc1q4h5vqga9hkn3ce26vupd70u3tk7nef2533npu9)];126.898422274405
2018-04-02 21:07:13;0.0056;Count Dankula;[WitnessPubkeyAddress(bc1qy5gkxqlm006k4l0axhy9kldxzs7spgdnfxwa76), PubkeyHashAddress(1L1KSTT4TQkttu2ThD1ZR44kCUzkm5Cx4G)];39.47884528
2018-04-03 20:30:36;0.00028571;Count Dankula;[WitnessPubkeyAddress(bc1q9qxg69j9djekhffsd8wmyfe6rd6x5ccz0g2jc8), PubkeyHashAddress(18ivKxumZ6kuG5PjqCzrANAbj6beNCW22d)];2.119364637625
2018-04-04 07:52:31;0.0017313;Count Dankula;[ScriptHashAddress(38SEgofm59HPnpdjg72NUHiMmA4u5dzJ7j), WitnessPubkeyAddress(bc1qzqcqefa40plken7zldmky6hdgh5hktvyexs55l)];11.754317340690001
2018-04-22 20:45:23;0.01;Count Dankula;[WitnessPubkeyAddress(bc1q73y6h7gvust3gm504phvtfd9n8gj5mph502k4n), ScriptHashAddress(3CaQq3yTnr6JAgm8gnKG3DzxMsEDusBRR3)];87.92830000000001
2018-04-25 00:24:15;0.00493436;Count Dankula;[WitnessPubkeyAddress(bc1qgztl7vhesg4tk9h0vu8qph7jly90t2qqrf3a5s), PubkeyHashAddress(1NSWjhmNRZQAJZpBhM7rfRTGNWVYJ5xFu7)];43.73859879649999
